Neighborhood,Sector #,Population (2010),Land Area (acres),Landslide Prone (% land area),Undermined (% land area),Flood Plain (% land area),# Street Trees,Park Space (acres),Park Space (% of land area),Park Space (acres/1000 pers.),Greenway (% of land area),Woodland (% of land area),Cemetery (% of land area)
Allegheny Center,3,933,0134-10-14T00:00:00,0.0%,0.0%,0.2%,22,55.3,41.1%,59.2,0.0%,0.0%,0.0%
Allegheny West,3,462,1990-10-14T00:00:00,9.3%,0.0%,2.3%,229,7.2,8.0%,15.5,0.0%,4.2%,0.0%
Allentown,6,"2,500",0188-10-14T00:00:00,27.1%,90.4%,0.0%,87,39.4,20.9%,15.8,0.0%,12.3%,0.0%
Arlington,7,"1,869",0300-10-14T00:00:00,41.4%,57.3%,1.5%,79,6.7,2.2%,3.6,0.0%,29.4%,7.3%
Arlington Heights,7,244,1984-10-14T00:00:00,39.9%,61.2%,0.0%,3,0.0,0.0%,0.0,0.0%,41.8%,0.0%
Banksville,5,"4,144",0620-10-14T00:00:00,6.3%,90.3%,0.0%,506,17.1,2.7%,4.1,0.0%,18.2%,0.0%
Bedford Dwellings,15,"1,202",0114-10-14T00:00:00,33.6%,69.3%,0.0%,45,8.7,7.6%,7.3,0.0%,23.4%,0.0%
Beechview,5,"7,974",0934-10-14T00:00:00,19.1%,76.7%,0.1%,512,20.0,2.1%,2.5,13.1%,21.1%,0.7%
Beltzhoover,6,"1,925",0269-10-14T00:00:00,17.9%,77.0%,1.1%,200,55.0,20.4%,28.6,0.0%,12.5%,0.0%
Bloomfield,12,"8,442",0449-10-14T00:00:00,8.1%,0.0%,0.0%,1035,4.7,1.1%,0.6,0.0%,0.5%,0.0%
Bluff,15,"6,600",0209-10-14T00:00:00,12.3%,0.0%,7.2%,141,0.1,0.0%,0.0,0.0%,0.0%,0.0%
Bon Air,6,808,0200-10-14T00:00:00,38.2%,50.8%,5.7%,56,26.6,13.3%,32.9,0.0%,34.9%,0.0%
Brighton Heights,2,"7,247",0714-10-14T00:00:00,32.3%,0.0%,2.6%,729,33.2,4.7%,4.6,1.0%,12.7%,0.0%
Brookline,5,"13,214",0332-01-14T00:00:00,3.5%,87.7%,0.5%,813,60.8,4.6%,4.6,0.0%,17.4%,0.0%
California-Kirkbride,3,761,0138-10-14T00:00:00,19.6%,0.0%,0.0%,116,0.1,0.1%,0.2,0.0%,3.9%,15.0%
Carrick,5,"10,113",1970-01-14T00:00:00,6.8%,91.8%,0.5%,595,37.0,3.5%,3.7,0.0%,12.0%,11.2%
Central Business District,16,"3,629",0409-10-14T00:00:00,0.1%,0.0%,30.5%,694,29.2,7.1%,8.0,0.0%,0.0%,0.0%
Central Lawrenceville,13,"4,482",0616-10-14T00:00:00,21.6%,0.0%,14.0%,377,6.0,1.0%,1.3,0.0%,0.6%,54.6%
Central Northside,3,"2,923",0165-10-14T00:00:00,12.2%,0.0%,0.0%,559,0.9,0.5%,0.3,0.0%,2.2%,0.0%
Central Oakland,14,"6,086",0179-10-14T00:00:00,10.6%,0.0%,0.0%,237,12.4,6.9%,2.0,0.0%,3.9%,0.0%
Chartiers City,4,477,1984-10-14T00:00:00,15.6%,0.0%,2.5%,46,0.2,0.2%,0.4,0.0%,17.5%,0.0%
Chateau,3,11,0245-10-14T00:00:00,0.0%,0.0%,56.7%,100,1.6,0.6%,144.3,0.0%,0.0%,0.0%
Crafton Heights,4,"3,814",0482-10-14T00:00:00,36.3%,41.4%,0.0%,315,7.3,1.5%,1.9,0.0%,21.7%,0.0%
Crawford-Roberts,15,"2,256",0165-10-14T00:00:00,24.7%,0.7%,0.0%,417,5.3,3.2%,2.4,0.0%,4.8%,0.0%
Duquesne Heights,6,"2,425",0398-10-14T00:00:00,41.5%,47.8%,3.1%,87,91.2,22.9%,37.6,16.6%,29.5%,0.0%
East Allegheny,3,"2,136",0151-10-14T00:00:00,11.1%,0.0%,0.0%,343,0.1,0.1%,0.0,0.0%,2.6%,0.0%
East Carnegie,4,570,0276-10-14T00:00:00,0.0%,17.2%,4.2%,11,0.5,0.2%,0.8,0.0%,19.8%,15.8%
East Hills,11,"3,169",0346-10-14T00:00:00,0.0%,25.6%,0.0%,379,13.5,3.9%,4.2,0.0%,12.5%,0.0%
East Liberty,12,"5,869",0371-10-14T00:00:00,0.8%,0.0%,0.0%,703,18.8,5.1%,3.2,0.0%,1.0%,0.0%
Elliott,4,"2,381",0387-10-14T00:00:00,37.6%,9.9%,3.3%,179,46.7,12.0%,19.6,6.0%,24.6%,3.4%
Esplen,4,301,0147-10-14T00:00:00,0.2%,0.0%,28.3%,8,0.2,0.1%,0.6,0.0%,7.9%,0.0%
Fairywood,4,"1,002",0620-10-14T00:00:00,6.3%,0.0%,11.9%,6,7.4,1.2%,7.3,0.0%,24.7%,0.0%
Fineview,3,"1,285",0160-10-14T00:00:00,92.0%,11.4%,0.0%,54,4.9,3.1%,3.8,0.0%,19.8%,0.0%
Friendship,12,"1,785",1967-10-14T00:00:00,0.0%,0.0%,0.0%,246,0.0,0.0%,0.0,0.0%,0.0%,0.0%
Garfield,12,"3,675",0292-10-14T00:00:00,2.4%,19.4%,0.0%,335,8.6,2.9%,2.3,0.0%,9.0%,0.0%
Glen Hazel,9,716,0291-10-14T00:00:00,58.8%,22.9%,1.7%,0,0.1,0.0%,0.2,15.9%,64.6%,0.0%
Greenfield,9,"7,294",0494-10-14T00:00:00,15.3%,19.5%,0.2%,540,9.6,1.9%,1.3,0.1%,4.3%,0.3%
Hays,8,362,0120-01-14T00:00:00,46.9%,46.9%,6.5%,4,1.3,0.1%,3.5,0.0%,71.7%,0.0%
Hazelwood,9,"4,317",2015-01-13T00:00:00,26.4%,20.0%,2.4%,491,24.5,2.4%,5.7,8.5%,14.5%,16.3%
Highland Park,12,"6,395",0744-10-14T00:00:00,16.4%,0.0%,0.3%,1012,350.7,47.1%,54.8,0.0%,16.9%,0.0%
Homewood North,11,"3,280",0277-10-14T00:00:00,0.0%,2.3%,0.0%,316,6.8,2.5%,2.1,0.0%,5.6%,0.0%
Homewood South,11,"2,344",0254-10-14T00:00:00,0.0%,0.0%,0.0%,266,2.9,1.1%,1.2,0.0%,0.0%,0.0%
Homewood West,11,818,0127-10-14T00:00:00,4.0%,0.0%,0.0%,64,0.8,0.6%,0.9,0.0%,5.6%,0.0%
Knoxville,6,"3,747",0193-10-14T00:00:00,0.1%,99.9%,0.0%,464,0.1,0.0%,0.0,0.0%,0.5%,0.0%
Larimer,12,"1,728",0284-10-14T00:00:00,10.0%,0.0%,0.0%,187,6.4,2.2%,3.7,0.0%,4.3%,0.0%
Lincoln Place,8,"3,227",0629-10-14T00:00:00,5.6%,91.8%,0.1%,263,23.4,3.7%,7.2,6.4%,26.4%,0.0%
